Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Fit type (product.metafields.shopify.fit-type),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Light source (product.metafields.shopify.light-source),Lighting features (product.metafields.shopify.lighting-features),Manufacturer type (product.metafields.shopify.manufacturer-type),Rim/Wheel design (product.metafields.shopify.rim-wheel-design),Vehicle frame/body features (product.metafields.shopify.vehicle-frame-body-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
led-headlight-for-2016-2018-audi-q3-left-lh-driver-side-8u0941033b,LED Headlight For 2016-2018 Audi Q3 Left LH Driver Side 8U0941033B,"<h3><strong>Item description from the seller</strong></h3>
<p>Product Description：<br>LED Headlight For 2016-2018 Audi Q3 Left LH Driver Side 8U0941033B</p>
<p>ITEM DESCRIPTION:</p>
<p>OEM:8U0941033B<br>Fits Following:For 2016-2018 Audi Q3<br>Condition:100% Brand New<br>Housing Color:Black<br>Warranty:3 Year<br>Fitment Type: Direct Replacement<br>Lighting Technology: LED<br>Country of Origin:China</p>
<p>Fits Model and Year :<br>For 2016-2018 Audi Q3</p>
<p>Features :<br>1.Direct Replacement. Perfect fitment.<br>2.Made of fresh raw plastic particles, got better density consistency and tenacity.</p>
<p>Reliable after-sales guarantee.</p>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Lighting > Headlights,Exterior Accessories,"",true,Title,Default Title,,,,,,,,,2000.0,shopify,10,deny,manual,62312.68,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0810/1311/3071/files/10.jpg?v=1775065973,1,"",false,,,,black,direct,new,,led,led-lighting,aftermarket,,,,kg,,,active
led-headlight-for-2016-2018-audi-q3-left-lh-driver-side-8u0941033b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/10_1.jpg?v=1775104399,2,"",,,,,,,,,,,,,,,,,,
bmw-alcantara-steering-wheel-with-led-display-carbon-paddles-trim-f8x-m2-3-4,"BMW Alcantara Steering Wheel With LED Display, Carbon Paddles & Trim F8x/M2/3/4","<h2 class=""section-title__title"" id=""s0-2-1-25-5-20-1-101[1]-2-3-7[0]-4[0]-3[0]-12[3]-1-title""><span class=""ux-textspans"">Item description from the seller</span></h2>
<p><span>WheelPlug BMW F-Chassis LED Display Alcantara Steering Wheel</span><br>Carbon Fiber Trim | RPM Shift Lights | Performance Data Display<br>Transform your BMW interior with this WheelPlug F-Chassis steering wheel, featuring an integrated LED display with RPM shift lights designed to deliver real-time performance data directly in your line of sight. Wrapped fully in premium Alcantara and finished with genuine carbon fiber trim, this wheel blends motorsport-inspired functionality with a refined, driver-focused design.<br><br><strong>Key Features</strong></p>
<ul>
<li><span>Full Alcantara wrap for enhanced grip</span></li>
<li><span>Integrated LED display screen at 12 o’clock</span></li>
<li><span>RPM shift lights with configurable thresholds</span></li>
<li><span>Displays real-time vehicle data (RPM, speed, and more)</span></li>
<li><span>Real carbon fiber trim</span></li>
<li><span>Real carbon fiber paddle shifters</span></li>
<li><span>Round steering wheel design</span></li>
<li>
<span>Designed for vehicles without heating element.</span><span></span>
</li>
</ul>
<p><span>Vehicle Fitment – BMW F-Chassis</span><br><br><strong>Fits select BMW F-series models equipped with compatible M-Sport style steering wheels, including:</strong><br></p>
<ul>
<li>F22 / F23</li>
<li>F30 / F31</li>
<li>F32 / F33 / F36</li>
<li>F87 M2</li>
<li>F80 M3</li>
<li>F82 / F83 M4</li>
</ul>
<p>Compatibility depends on factory steering wheel configuration. Buyer is responsible for confirming fitment prior to purchase.<br><br><strong>⚠️ IMPORTANT – PLEASE READ BEFORE PURCHASING</strong><br><br>This steering wheel features an integrated LED display and RPM shift lights that requires a connection to the included OBD-II dongle/module to read information to function properly.<br></p>
<ul>
<li>Coding or configuration may be required depending on vehicle model and factory options</li>
<li>Requires connection to an OBD-II dongle/module to receive vehicle data</li>
<li>Coding or configuration may be required depending on vehicle software and options</li>
</ul>
<p>Display functionality may vary by model and factory setup<br><br>Buyer is responsible for confirming compatibility and setup requirements prior to purchase.<br><br><strong>Important Information</strong><br></p>
<ul>
<li>Airbag not included (factory airbag must be reused)</li>
<li>Includes: button modules, paddle shifters, and carbon trim</li>
<li>Not compatible with heated steering wheel or ACC systems</li>
<li>Designed for performance-oriented builds and track-inspired interiors</li>
</ul>
<p><br><strong>Condition &amp; Shipping</strong><br></p>
<ul>
<li>Condition: Brand new, never installed<br>
</li>
<li>Ships securely to ensure safe delivery</li>
<li>Ships from Chicago, Illinois</li>
</ul>
<p><br>Why Choose WheelPlug?<br><br>WheelPlug specializes in premium BMW steering wheels that combine aesthetics, ergonomics, and performance-focused features. Each wheel is carefully selected and built for enthusiasts who want more than just a cosmetic upgrade.</p>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Controls > Steering Wheels,Interior Accessories,"",true,Title,Default Title,,,,,,,,,2500.0,shopify,67,deny,manual,60341.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0810/1311/3071/files/bmw-f80-m3-f82-f83-m4-cs-gts-race-display-carbon-fibre-flat-bottom-steering-wheel-dct-paddles-carbon-trim-3-copy.webp?v=1775065460,1,"",false,,,'2,black,,new,synthetic; carbon-fiber,,,aftermarket,,,,kg,,,active
led-performance-display-steering-wheel,BMW M Performance Suede LED Race Digital Display Steering Wheel M2 M3 M4 F80,"<h2 id=""s0-2-1-25-5-20-1-101[1]-2-3-7[0]-4[0]-3[0]-12[3]-1-title"" class=""section-title__title""><span class=""ux-textspans"">Item description from the seller</span></h2>
<p>For M Performance Suede LED Race Digital Display Steering Wheel for M3 F80 M4 M2 F20 F22 F30 F32 F15 F11 M Sport 2013-2020</p>
<p><b>Feature:</b></p>
<p>1. LED shift indicator includes 5 sets of LEDs on each side of the steering wheel that lights up gradually in green as the engine RPM increases. Once it reaches the user configured RPM, the indicator flashes red as an up shift reminder. LED shift indicator, adjustable from 500RPM to 9900RPM, LED shift light color, adjustable for RGB color.</p>
<p>2. The LED performance steering wheel is the perfect addition for any performance enthusiast. Features shift indicator lights 0-60mph quarter mile and lap times lateral and longitudinal acceleration values and displays efficient dynamics data. LED performance steering wheels, allows you to read real-time data from the display embedded in your steering wheel exactly.</p>
<p>3. Highlight LED display, which clearly shows speed, RMP, LAP, engine load, water temperature, voltage and etc.</p>
<p>4. The steering wheel is completely upholstered in suede and provides excellent grip – at any temperature and even in extreme driving situations, get a grip on the excitement of racing.</p>
<p><br></p>
<p>5. Easy to install, module connects with wireless OBD2 plug and display connects to steering wheel connections.<span> </span><u>Professional installation may be required and is recommend.</u></p>
<p><br></p>
<p><b>Specification:</b></p>
<p>Condition: 100% Brand New</p>
<p>Item Type: LCD Steering Wheel</p>
<p>Material: Suede</p>
<p>LED Shift Indicator Race Display：Yes</p>
<p>Steering Wheel Stitching: for M performance</p>
<p>12 O-Clock Ring: NO</p>
<p>Steering Wheel Hand Grips: Suede</p>
<p>Steering Wheel Shape Bottom: OEM Style</p>
<p>Finger Ridges: Yes</p>
<p><br></p>
<p><b>LCD Display:</b></p>
<p>1. Details of fuel consumption</p>
<p>2. Steering wheel angle perception</p>
<p>3. Dynamic steering communication</p>
<p>4. Time record</p>
<p>5. Dynamic speed sensing</p>
<p>6. Racing mileage record</p>
<p>7. Engine information presentation</p>
<p>8. Specific information settings</p>
<p>9. Estimated cruising range</p>
<p>10. Turbo boost display etc.</p>
<p><br></p>
<p><b>Fitment:</b></p>
<p>Fit for 1 Series F20/F21 M Sport LCI 2016-2019</p>
<p>Fit for 2 Series F22/ F23 M Sport 2014-2019</p>
<p>Fit for 3 Series F30/ F31 M Sport 2013-2019</p>
<p>Fit for 4 Series F32/ F33/ F36 M Sport 2014-2019</p>
<p>Fit for X5 F15 M Sport 2014-2018</p>
<p>Fit for X6 F16 M Sport 2015-2019</p>
<p>Fit for M2 F87 2016-2020</p>
<p>Fit for M3 F80 2014-2018</p>
<p>Fit for M4 F82/ F83 2014-2020</p>
<p>Fit for X5M F85 2015-2018</p>
<p>Fit for X6M F86 2015-2019</p>
<p><br></p>
<p><b>Package List:</b></p>
<p>1 x LED Steering Wheel</p>
<p>1 x OBD Smart Module</p>
<p>1 x OBD Harness</p>
<p>1 x Spare Cable</p>
<p><br></p>
<p><u><b>Note: This is non OEM.</b></u></p>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Controls > Steering Wheels,Interior Accessories,"Interior, Steering Wheel, Tech",true,Title,Default Title,,,,,,,,RE-STW-009,4000.0,shopify,6,deny,manual,98000.00,120000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/GENUINEBMWF80F82MPERFORMANCEALCANTARASTEERINGWHEELWITHCARBONFIBRETRIM_RACEDISPLAY_M3_M4__01.webp?v=1775112701,1,"",false,,,,black,,new,carbon-fiber,,,aftermarket,,,,kg,,,active
led-performance-display-steering-wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/bmw-f80-m3-f82-f83-m4-cs-gts-race-display-carbon-fibre-flat-bottom-steering-wheel-dct-paddles-carbon-trim-1-copy.webp?v=1775112701,2,"",,,,,,,,,,,,,,,,,,
carbon-fiber-cold-air-intake,APR PEX Open Intake System - 1.8T/2.0T EA888 Gen 3/4 MQB,"<div class=""full_description"">The APR Open PEX Intake System is the best dollar-per-horsepower intake system for the 1.8T/2.0T Engine. We've maximized performance and sound dramatically by reducing pressure drop and increasing airflow. This translates to more horsepower and torque, and less physical strain on the turbocharger. The system looks great, sounds amazing, and produces more horsepower and torque you can feel.Our Open PEX Intake System does away with the closed airbox design and uses a massive 7"" washable and reusable cotton filter with a frontal inlet and 4"" rear outlet. This was necessary to limit pressure drop across the factory system and maximize airflow, while allowing you to fully hear the engine breathe. The massive filter provides excellent filtration. By oversizing the filter, we're able to limit pressure drop without sacrificing filtration. This is made possible through the use of greatly increased filter surface area. The PEX material gives the intake an Oem feel and it allows us to make a complex and organic heat shield shape that keeps hot air pushed through the frontal radiator away from the intake tract. Lastly, PEX retains heat less than other materials such as metal, making it ideal for performance.</div>
<h3>Features:</h3>
<ul class=""productpage_list"">
<li>More horsepower with gains up to +12 AWHP over stock</li>
<li>More torque with gains of up to +13 AWFT-LBS over stock</li>
<li>Greatly outflows the full factory frontal airbox by 60% at 833 CFM vs 521 CFM</li>
<li>High heat deflection PEX construction</li>
<li>Massive 7” washable and reusable cotton filter with a frontal inlet and 4” rear outlet</li>
<li>Creates an intoxicating intake sound in the engine bay</li>
<li>Improves throttle response</li>
<li>Lessens pressure drop</li>
<li>Lessens strain on the turbocharger</li>
<li>Lessens heat retention compared to other materials, such as metal</li>
<li>Compatible with APR and factory rear intake tubes and turbo inlet pipes</li>
<li>Easily installs in minutes</li>
</ul>
<div class=""collapsible-title"">Specs<span class=""slides-in""></span>
</div>
<div class=""row-contents active expanded"">
<table style=""width: 100.036%; height: 254.8px;"" class=""attributes-table"" cellspacing=""0"">
<tbody>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Brand</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">APR</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">C.A.R.B EO #</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">D-782-8</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Category</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">Air and Fuel Delivery</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Emission Code</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">1</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Engine Application</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">1.8T/2.0T</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Filter Color</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">Red</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Filter Material</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">Pleated Cotton Gauze</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Material</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">PEX</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Product Type</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">Intake Systems</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Style</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">Open</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Sub Category</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">Fuel Injection System and Related Components</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">UPC</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">810009932710</td>
</tr>
<tr style=""height: 19.6px;"">
<th style=""width: 30.0322%; height: 19.6px;"" class=""label"">Part Number</th>
<td style=""width: 69.8963%; height: 19.6px;"" class=""data"">
<p>CI100041</p>
</td>
</tr>
</tbody>
</table>
<h3 class=""collapsible-title""><strong>Emissions</strong></h3>
<p class=""collapsible-title""><span class=""slides-in""></span>This part is legal for sale and use on Emissions Controlled Vehicles, in all 50 states, when used in accordance with the manufacturers application guide because it has a California Air Resources Board (CARB) Executive Order (EO) number.</p>
<div class=""row-contents active expanded"">
<p class=""emissionstatement"">The following vehicles are considered Emissions Controlled Vehicles:</p>
<ul>
<li>1966 and newer U.S. manufactured California Certified vehicles</li>
<li>1968 and newer U.S. manufactured Federally Certified vehicles</li>
<li>1968 and newer Foreign manufactured vehicle</li>
</ul>
<div class=""collapsible-title"">Tech Resources<span class=""slides-in""></span>
</div>
<div class=""row-contents active expanded"">
<div class=""widget_info"">
<div class=""tech_icons fas fa-info-circle fa-2x""><br></div>
<span> </span>
<div class=""widget_text"">
<a title=""View CARB EO Document"" rel=""noopener"" href=""https://documents.goapr.com/d-783-8.pdf"" class=""tech_resource_widget_link"" target=""_blank"">CARB EO Document</a><br>Lists applicable vehicles and scenarios</div>
</div>
<div class=""widget_info tech_resource_links"">
<span> </span><a title=""Instructions - d-783-8.pdf"" href=""https://documents.goapr.com/c199e4ff25a832df0d17e2a5e8669b058dcd1c83.pdf"" rel=""noopener"" target=""_blank"">
<div class=""widget_text"">Instructions - d-783-8.pdf</div>
</a>
</div>
<div class=""widget_info tech_resource_links"">
<span> </span><a title=""Instructions - tl100190_mqb_plastic_intake_web.pdf"" href=""https://documents.goapr.com/f0125c05635fe265471b9a91b261b7cd121b5a0a.pdf"" rel=""noopener"" target=""_blank"">
<div class=""widget_text"">Instructions - tl100190_mqb_plastic_intake_web.pdf</div>
</a>
</div>
<div class=""widget_info"">
<span> </span>
<div class=""widget_text installation_notes product_info"">Note: Models with Secondary Air Injection (SAI) require a breather filter (CI100020-A). Not compatible with EA888.3B enginew ith a MAF sensor. This system is not compatible with the MS100100 intake mounted Catch Can System.</div>
<div class=""widget_text installation_notes product_info""><br></div>
<div class=""widget_text installation_notes product_info"">
<h2 id=""compatible-vehicles"" class=""heading svelte-1fz0gqk""><span class=""svelte-1fz0gqk"">Compatible Vehicles</span></h2>
<h3 id=""audi-models"" class=""heading svelte-1fz0gqk""><span class=""svelte-1fz0gqk"">Audi Models</span></h3>
<ul>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk""><span class=""svelte-1fz0gqk"">A3</span></strong><span class=""svelte-1fz0gqk""><span> </span>(2015–2024) – FWD and Quattro variants</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">A3 Quattro</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2015–2024)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">Q3</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2019–2024)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">S3</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2015–2024)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">TT</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2016–2023) – Quattro only</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">TTS</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2016–2023) – Quattro only </span>
</li>
</ul>
<p class=""svelte-1fz0gqk""><button type=""button"" class=""inline-citation svelte-ixv2oh""><svg xmlns=""http://www.w3.org/2000/svg"" width=""24"" height=""24"" class=""icon"" viewbox=""0 0 24 24""><path fill-rule=""evenodd"" d=""M13.434 4.434a4.336 4.336 0 0 1 6.132 6.132l-3.998 3.997a4.3 4.3 0 0 1-6.14-.003.8.8 0 1 1 1.143-1.12 2.7 2.7 0 0 0 3.857 0l.006-.006 4-4a2.735 2.735 0 1 0-3.869-3.868l-.5.5a.8.8 0 0 1-1.13-1.132zm-3.6 4.051a4.3 4.3 0 0 1 4.737.955.8.8 0 0 1-1.143 1.12 2.7 2.7 0 0 0-3.857 0l-.005.006-4 4a2.735 2.735 0 1 0 3.868 3.868l.5-.5a.8.8 0 1 1 1.132 1.132l-.5.5a4.336 4.336 0 0 1-6.132-6.132l3.997-3.997a4.3 4.3 0 0 1 1.403-.952"" clip-rule=""evenodd""></path></svg></button></p>
<h3 id=""volkswagen-models"" class=""heading svelte-1fz0gqk""><span class=""svelte-1fz0gqk"">Volkswagen Models</span></h3>
<ul>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk""><span class=""svelte-1fz0gqk"">Golf / GTI</span></strong><span class=""svelte-1fz0gqk""><span> </span>(2015–2024)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">Golf R</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2015–2024)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">Golf Sportwagen</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2015–2019)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">Golf Alltrack</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2017–2019)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">Jetta</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2019–2024)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">Arteon</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2019–2024)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">Tiguan</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2018–2024)</span>
</li>
<li class=""svelte-1fz0gqk"">
<strong class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""><span class=""svelte-1fz0gqk"">Atlas / Atlas Cross Sport</span></strong><span class=""svelte-1fz0gqk"" style=""font-size: 0.875rem;""> (2018–2023) – 2.0T models</span>
</li>
</ul>
</div>
</div>
</div>
</div>
</div>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Engine Parts,Performance Parts,"Carbon Fiber, Engine, Performance",true,Title,Default Title,,,,,,,,RE-INT-008,3500.0,shopify,10,deny,manual,65000.00,78000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/61a33af6d56c17c03a924ea61b94cffb7ecbc2c6.jpg?v=1775066402,1,"",false,,,,,,,carbon-fiber,,,,,,,kg,,,active
carbon-fiber-cold-air-intake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/542b7407053a89b99a49029d8d37ccd293d86490.jpg?v=1775066402,2,"",,,,,,,,,,,,,,,,,,
carbon-fiber-cold-air-intake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/1cd10dd7c50a046d536d976776d4e226ac0741bc.avif?v=1775066401,3,"",,,,,,,,,,,,,,,,,,
carbon-fiber-cold-air-intake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/0cdff8bf96bbc1b7d63b116596bbbf75b617819a.avif?v=1775066401,4,"",,,,,,,,,,,,,,,,,,
valvetronic-titanium-exhaust-system,Fabspeed Chevrolet Corvette C8 Z06 Titanium Valved Cat-Back Exhaust System (2023+) Reviews,"<p dir=""ltr""><span>The Fabspeed Titanium Valved Cat-Back Exhaust System is the ULTIMATE exhaust solution for the C8 Z06. It provides the same high pitched scream 6700rpm rip  that our Supersport X-Pipe exhaust has while also allowing the driver to quiet the exhaust down using the factory exhaust loudness settings. It’s totally plug-and-play with the factory exhaust valve electric actuator modules. Retaining ALL drive modes, and Z-mode abilities. NO FAULT CODES with Fabspeed Valved BECAUSE ONLY Fabspeed uses the WOLRDS VERY BEST EXHAUST VALVES from Helical limited Great Britain versus cheap Chinese garbage valves- like local competitors and all competitors. </span></p>
<p dir=""ltr""><span>Our design process started with 3D scanning the entire OEM exhaust system using our CREAFORM 700 Handscan so that we could make a complete Solidworks 3D model of the exhaust. We then designed the exhaust and fixtures using that model so that the exhaust fit perfectly to OEM standards. After multiple revisions for sound and dyno testing we decided to use our signature cast Titanium X-Pipe to tie the two cylinder banks together for exhaust scavenging and to defeat resonance. The valves are mounted to CNC’d plates that resist heat and keep the electronics working under extreme conditions. The piping is mandrel bent from Titanium, and we use ultra high temp heat wrapping to keep temps in the engine bay down.</span></p>
<p dir=""ltr""> </p>
<p dir=""ltr""><span><strong>FEATURES:</strong></span></p>
<ul>
<li>Fits all Chevrolet Corvette C8 Z06 2023+ Models (Except EU Spec Models) </li>
<li>Weight savings of -35 lbs / -17 kg vs the factory exhaust</li>
<li>Your choice of Carbon Fiber tips with new carbon fiber surround trim, TITANIUM QUAD tips blued titanium and or retain your factory quad Z06 tips</li>
<li>Plug-and-play Helical UK valves that completely retain the factory exhaust valve functionality- WITH 100% GUaRANTEED RELIABILITY . no fault codes like cheap mongrel exhaust valves.</li>
<li>Incorporates our signature cast Titanium X-pipe for superior flow and exhaust scavenging</li>
<li>Larger diameter tubing allows the Z06 engine to really breathe</li>
<li>Constructed from high-quality 14-16ga CNC mandrel-bent Titanium for optimum flow and maximum durability</li>
<li>NO CHEAP CHINESE PIE CUT  multiple pieces of titanium all welded together like a lobster tail. PIE CUT multiple pieces of titanium or stainless steel is INDICATIVE OF CHEAP SWEAT SHOW CHINESE LABOR and a lousy ALIBABA 100% guaranteed to fail system. Pie Cut AINT Craftsmanship. THINK- mandrel bent 1 piece tubing as much as possible is OBVIOUSLY stronger and flows more and reduced HAZ- look it up in welding heat affected zones. </li>
<li>Laser scanned and CAD designed for perfect OEM fitment using an Ametek Handyscan 700</li>
<li>No Check Engine Light guaranteed</li>
<li>This cat-back exhaust is 100% emissions legal worldwide</li>
<li>Simple DIY bolt-on installation, no cutting or welding required</li>
<li>All hardware included</li>
<li>100% built in house and DYNO developed at Fabspeed Motorsport USA</li>
<li>All Fabspeed performance products are backed by the <span><a href=""https://www.fabspeed.com/warranty/#:~:text=Fabspeed%20warrants%20to%20the%20consumer,or%20a%20Fabspeed%20approved%20installer."">Fabspeed Lifetime Warranty</a></span>
</li>
</ul>
<p dir=""ltr""><strong>SOUND:</strong></p>
<p dir=""ltr""><span id=""docs-internal-guid-5a4be35f-7fff-de6b-d64f-f326df6d1023""><span>This incredibly versatile exhaust is able to go from tame cruiser, to thoroughbred race car with the press of a button. With the car set to the loud exhaust mode (valves open), you’ll be treated to a much more authoritative rumble at idle, and our signature Ti X-pipe bringing out the a high pitched wail that, dare we say, exceeds that of the Ferrari 458. With the Z06 set to quiet mode (valves closed), it’s totally drone free and you can easily have a conversation in the cabin just like the OEM exhaust.</span></span></p>",Redline Essentials,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Exhaust,Exhaust Parts,"Exhaust, Performance, Titanium",true,Title,Default Title,,,,,,,,RE-EXH-007,18000.0,shopify,5,deny,manual,210000.00,245000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0810/1311/3071/files/DSC07004__58278.jpg?v=1775066833,1,"",false,,,,,,,titanium,,,,,,,kg,,,active
